"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"2101608";"Total";"20143";"4982";"53915"
"2101707";"Total";"9708";"2387";"42506"
"2101731";"Total";"1128";"364";"4965"
"2101772";"Total";"3045";"1140";"7696"
"2101806";"Total";"1483";"283";"3691"
"2101905";"Total";"7662";"3816";"8814"
"2101939";"Total";"1733";"371";"3756"
"2101970";"Total";"1091";"485";"6331"
"2102002";"Total";"6616";"3340";"27589"
"2102036";"Total";"3696";"2158";"21175"
"2102077";"Total";"3500";"1081";"10006"
"2102101";"Total";"5742";"3004";"23856"
"2102150";"Total";"1015";"233";"4226"
"2102200";"Total";"4501";"1650";"20604"
"2102309";"Total";"3895";"3182";"15653"
"2102325";"Total";"13449";"3983";"46713"
"2102358";"Total";"3287";"733";"10714"
"2102374";"Total";"1593";"339";"6371"
"2102408";"Total";"1471";"797";"8289"
"2102507";"Total";"2609";"1271";"14338"
"2102556";"Total";"3253";"725";"9300"
"2102606";"Total";"3542";"1413";"13405"
"2102705";"Total";"2558";"1350";"16488"
"2102754";"Total";"2295";"841";"7526"
"2102804";"Total";"5719";"1619";"16099"
"2102903";"Total";"3714";"658";"17436"
"2103000";"Total";"26752";"20084";"105628"
"2103109";"Total";"1782";"605";"7895"
"2103125";"Total";"747";"2279";"4761"
"2103158";"Total";"2524";"1248";"8511"
"2103174";"Total";"3364";"1129";"12553"
"2103208";"Total";"17499";"4945";"49906"
"2103257";"Total";"2992";"1191";"9350"
"2103307";"Total";"15169";"16023";"85186"
"2103406";"Total";"7288";"5103";"32879"
"2103505";"Total";"8090";"5455";"24679"
"2103554";"Total";"2726";"1728";"9838"
"2103604";"Total";"13913";"6051";"41271"
"2103703";"Total";"4356";"6073";"21827"
"2103752";"Total";"2757";"1006";"8731"
"2103802";"Total";"5881";"1473";"15168"
"2103901";"Total";"1473";"536";"8628"
"2104008";"Total";"4237";"899";"13187"
"2104057";"Total";"9678";"1959";"23927"
"2104073";"Total";"1269";"286";"6472"
"2104081";"Total";"1776";"343";"4513"
"2104099";"Total";"4369";"1189";"11882"
"2104107";"Total";"2793";"1120";"7482"
"2104206";"Total";"3302";"1392";"10266"
"2104305";"Total";"1923";"1155";"7458"
"2104404";"Total";"4113";"1671";"11138"
"2104503";"Total";"1611";"663";"7749"
"2104552";"Total";"3526";"791";"11396"
"2104602";"Total";"2605";"1620";"11575"
"2104628";"Total";"1144";"505";"5565"
"2104651";"Total";"1678";"847";"9164"
"2104677";"Total";"3993";"2030";"19195"
"2104701";"Total";"1236";"507";"4284"
"2104800";"Total";"14964";"4193";"38455"
"2104909";"Total";"1793";"1462";"8687"
"2105005";"Total";"3564";"1286";"21072"
"2105104";"Total";"2040";"1837";"21078"
"2105153";"Total";"2085";"1930";"8197"
"2105203";"Total";"2918";"1002";"6989"
"2105302";"Total";"74965";"19723";"148774"
"2105351";"Total";"2735";"561";"9963"
"2105401";"Total";"9952";"5169";"46814"
"2105427";"Total";"6591";"1945";"15824"
"2105450";"Total";"1677";"576";"6077"
"2105476";"Total";"2115";"479";"7296"
"2105500";"Total";"5217";"1795";"13059"
"2105609";"Total";"3106";"1062";"11125"
"2105658";"Total";"710";"182";"3089"
"2105708";"Total";"9904";"2879";"32287"
"2105807";"Total";"2385";"889";"7114"
"2105906";"Total";"3253";"525";"11565"
"2105922";"Total";"2396";"644";"7879"
"2105948";"Total";"2047";"503";"5158"
"2105963";"Total";"1854";"666";"7953"
"2105989";"Total";"1807";"508";"4443"
"2106003";"Total";"3145";"1798";"6196"
"2106102";"Total";"1820";"427";"9026"
"2106201";"Total";"1242";"531";"4712"
"2106300";"Total";"3995";"339";"13195"
"2106326";"Total";"3374";"1001";"14708"
"2106359";"Total";"1209";"833";"5879"
"2106375";"Total";"2542";"1060";"9417"
"2106409";"Total";"1885";"1137";"12109"
"2106508";"Total";"3463";"1783";"16343"
"2106607";"Total";"4305";"2533";"23669"
"2106631";"Total";"2273";"906";"10523"
"2106672";"Total";"1972";"234";"5762"
"2106706";"Total";"5386";"1089";"13808"
"2106755";"Total";"6565";"1757";"16054"
"2106805";"Total";"1222";"1755";"11166"
"2106904";"Total";"4797";"6076";"20349"
"2107001";"Total";"2365";"496";"5549"
"2107100";"Total";"2321";"817";"14568"
"2107209";"Total";"2213";"1847";"8315"
"2107258";"Total";"861";"355";"3519"
"2107308";"Total";"997";"563";"2990"
"2107357";"Total";"3511";"2003";"13383"
"2107407";"Total";"5587";"1402";"11306"
"2107456";"Total";"2060";"1475";"9579"
"2107506";"Total";"25427";"11758";"66899"
"2107605";"Total";"2652";"2839";"13129"
"2107704";"Total";"5138";"1797";"12743"
"2107803";"Total";"5159";"2527";"26439"
"2107902";"Total";"3848";"1691";"11898"
"2108009";"Total";"5428";"1220";"11098"
"2108058";"Total";"3501";"497";"10469"
"2108108";"Total";"3959";"1662";"14150"
"2108207";"Total";"10547";"4391";"23562"
"2108256";"Total";"2314";"4040";"16126"
"2108306";"Total";"3924";"5490";"24517"
"2108405";"Total";"4556";"1812";"7395"
"2108454";"Total";"3529";"2115";"15349"
"2108504";"Total";"6334";"4207";"20111"
"2108603";"Total";"18218";"8715";"50459"
"2108702";"Total";"5262";"1553";"14722"
"2108801";"Total";"2379";"1395";"13497"
"2108900";"Total";"4619";"708";"14152"
"2109007";"Total";"6055";"1076";"14091"
"2109056";"Total";"973";"718";"4324"
"2109106";"Total";"13105";"3131";"27792"
"2109205";"Total";"819";"881";"9723"
"2109239";"Total";"998";"793";"4507"
"2109270";"Total";"2730";"975";"13418"
"2109304";"Total";"1394";"736";"8536"
"2109403";"Total";"2858";"362";"10698"
"2109452";"Total";"6151";"2032";"17893"
"2109502";"Total";"3732";"1677";"14430"
"2109551";"Total";"1948";"326";"4963"
"2109601";"Total";"6111";"2714";"30638"
"2109700";"Total";"580";"136";"4713"
"2109759";"Total";"1846";"236";"4907"
"2109809";"Total";"10001";"5663";"23171"
"2109908";"Total";"18600";"8506";"48692"
"2110005";"Total";"13899";"6262";"52939"
"2110039";"Total";"5281";"1285";"15896"
"2110104";"Total";"5472";"1966";"21549"
"2110203";"Total";"6582";"2540";"23175"
"2110237";"Total";"1696";"302";"9629"
"2110278";"Total";"2788";"365";"10649"
"2110302";"Total";"2591";"770";"10827"
"2110401";"Total";"3407";"428";"13877"
"2110500";"Total";"7296";"9435";"23638"
